block_id,shard_count
0,178488
1,170352
2,162288
3,176544
4,172440
5,179352
6,188352
7,177732
8,175428
9,175284
10,194112
11,183852
12,176364
13,184500
14,188244
15,178092
16,192132
17,175932
18,181584
19,172584
20,188820
21,187920
22,186120
23,181944
24,182952
25,184824
26,184860
27,181908
28,184392
29,188568
30,178236
31,192708
32,180072
33,192888
34,181188
35,178488
36,189720
37,182988
38,179244
39,170352
40,184932
41,185364
42,179676
43,189144
44,180468
45,184500
46,190692
47,195012
48,187344
49,182988
50,194400
51,186408
52,187668
53,178956
54,191700
55,169272
56,181044
57,185976
58,189540
59,183816
60,187668
61,182664
62,179568
63,175716
