block_id,shard_count
0,83584
1,79072
2,82464
3,80512
5,80384
4,80160
6,82368
7,79712
8,79232
9,80768
10,78208
11,78144
12,78528
13,79296
14,74976
15,76896
16,75968
17,79168
18,78592
19,78976
20,76032
21,77216
22,79104
23,75328
24,82080
26,76000
25,76352
28,79296
27,76512
29,74368
30,72928
31,76864
32,73920
33,79456
34,79008
35,76032
36,73824
37,75456
39,76000
38,75072
40,76928
41,75904
42,75072
43,76576
44,72320
45,73792
46,75840
47,71360
48,71584
49,76160
51,72448
50,72640
52,73504
54,74304
56,77120
55,72128
57,74816
58,75840
53,71744
60,70976
61,72000
62,72896
59,73312
63,74496
