block_id,shard_count
0,125216
1,125184
2,125216
3,125184
4,125152
5,125184
6,125216
7,125152
8,125152
9,125184
10,125184
11,125216
12,125152
13,125152
14,125152
15,125248
16,125184
17,125280
18,125152
19,125184
20,125184
21,125152
22,125216
23,125152
24,125184
25,125152
26,125216
27,125184
28,125120
29,125120
30,125184
31,125184
32,125152
33,125184
34,125184
35,125152
36,125216
37,125184
38,125216
39,125184
40,125152
41,125152
42,125120
43,125184
44,125120
45,125184
46,125184
47,125216
48,125280
49,125184
50,125152
51,125120
52,125120
53,125216
54,125184
55,125152
56,125216
57,125184
58,125152
59,125152
60,125280
61,125216
62,125184
63,125120
